,Date,Price,Open,High,Low,Vol.,Change%
179,2018-06-29,7636.93,7615.63,7706.64,7615.63,926730000,0.28
180,2018-06-28,7615.63,7621.69,7632.17,7576.01,815210000,-0.08
181,2018-06-27,7621.69,7537.92,7633.92,7512.03,1690000000,1.11
182,2018-06-26,7537.92,7509.84,7564.05,7509.84,1120000000,0.37
183,2018-06-25,7509.84,7682.27,7682.27,7508.32,815820000,-2.24
184,2018-06-22,7682.27,7556.44,7689.44,7556.2,738420000,1.67
185,2018-06-21,7556.44,7627.4,7670.78,7548.12,801610000,-0.93
186,2018-06-20,7627.4,7603.85,7705.2,7603.85,870100000,0.31
187,2018-06-19,7603.85,7631.33,7631.33,7548.84,921290000,-0.36
188,2018-06-18,7631.33,7633.91,7645.47,7601.6,683910000,-0.03
189,2018-06-15,7633.91,7765.79,7781.0,7633.91,1760000000,-1.7
190,2018-06-14,7765.79,7703.71,7793.45,7650.16,1150000000,0.81
191,2018-06-13,7703.71,7703.81,7746.7,7677.17,877980000,0.0
192,2018-06-12,7703.81,7737.43,7762.77,7701.33,797690000,-0.43
193,2018-06-11,7737.43,7681.07,7756.02,7681.07,758830000,0.73
194,2018-06-08,7681.07,7704.4,7714.32,7637.52,778850000,-0.3
195,2018-06-07,7704.4,7712.37,7756.66,7698.15,1090000000,-0.1
196,2018-06-06,7712.37,7686.8,7730.48,7671.62,909670000,0.33
197,2018-06-05,7686.8,7741.29,7744.46,7686.61,962540000,-0.7
198,2018-06-04,7741.29,7701.77,7772.12,7701.7,743520000,0.51
199,2018-06-01,7701.77,7678.2,7746.73,7678.2,807700000,0.31
200,2018-05-31,7678.2,7689.57,7727.45,7651.12,1590000000,-0.15
201,2018-05-30,7689.57,7632.64,7689.57,7618.12,950540000,0.75
202,2018-05-29,7632.64,7730.28,7730.28,7610.66,1330000000,-1.26
203,2018-05-25,7730.28,7716.74,7753.32,7703.26,852470000,0.18
204,2018-05-24,7716.74,7788.44,7803.45,7716.74,917820000,-0.92
205,2018-05-23,7788.44,7877.45,7877.45,7765.32,944430000,-1.13
206,2018-05-22,7877.45,7859.17,7903.5,7854.58,829870000,0.23
207,2018-05-21,7859.17,7778.79,7868.12,7778.12,713100000,1.03
208,2018-05-18,7778.79,7787.97,7791.41,7753.27,927550000,-0.12
209,2018-05-17,7787.97,7734.2,7788.23,7713.85,802620000,0.7
210,2018-05-16,7734.2,7722.98,7745.53,7717.76,959900000,0.15
211,2018-05-15,7722.98,7710.98,7752.02,7687.49,1060000000,0.16
212,2018-05-14,7710.98,7724.55,7727.96,7688.57,772860000,-0.18
213,2018-05-11,7724.55,7700.97,7728.89,7691.69,754160000,0.31
214,2018-05-10,7700.97,7662.52,7706.87,7631.58,901480000,0.5
215,2018-05-09,7662.52,7565.75,7662.52,7565.75,918680000,1.28
216,2018-05-08,7565.75,7567.14,7598.51,7550.44,896880000,-0.02
217,2018-05-04,7567.14,7502.69,7570.22,7502.69,886340000,0.86
218,2018-05-03,7502.69,7543.2,7555.18,7492.39,745260000,-0.54
219,2018-05-02,7543.2,7520.36,7572.98,7519.62,855110000,0.3
220,2018-05-01,7520.36,7509.3,7549.07,7506.57,584610000,0.15
221,2018-04-30,7509.3,7502.21,7546.16,7497.11,1020000000,0.09
222,2018-04-27,7502.21,7421.43,7507.12,7421.28,773110000,1.09
223,2018-04-26,7421.43,7379.32,7421.43,7355.0,839860000,0.57
224,2018-04-25,7379.32,7425.4,7427.13,7334.64,906770000,-0.62
225,2018-04-24,7425.4,7398.87,7439.58,7397.29,862030000,0.36
226,2018-04-23,7398.87,7368.17,7404.11,7359.73,799460000,0.42
227,2018-04-20,7368.17,7328.92,7368.17,7323.31,792270000,0.54
228,2018-04-19,7328.92,7317.34,7340.73,7309.42,811860000,0.16
229,2018-04-18,7317.34,7226.05,7325.59,7226.05,904180000,1.26
230,2018-04-17,7226.05,7198.2,7240.41,7189.85,735880000,0.39
231,2018-04-16,7198.2,7264.56,7265.83,7195.46,889300000,-0.91
232,2018-04-13,7264.56,7258.34,7274.99,7249.07,677120000,0.09
233,2018-04-12,7258.34,7257.14,7266.64,7240.76,687150000,0.02
234,2018-04-11,7257.14,7266.75,7270.28,7243.32,789650000,-0.13
235,2018-04-10,7266.75,7194.75,7266.75,7194.75,778170000,1.0
236,2018-04-09,7194.75,7183.64,7209.68,7145.57,691580000,0.15
237,2018-04-06,7183.64,7199.5,7214.02,7163.11,676290000,-0.22
238,2018-04-05,7199.5,7034.01,7199.5,7034.01,819220000,2.35
239,2018-04-04,7034.01,7030.46,7046.26,6971.75,818650000,0.05
240,2018-04-03,7030.46,7056.61,7064.98,6996.76,814720000,-0.37
241,2018-03-29,7056.61,7044.74,7109.93,7042.73,900250000,0.17
242,2018-03-28,7044.74,7000.14,7044.74,6923.33,785930000,0.64
243,2018-03-27,7000.14,6888.69,7042.37,6888.69,712080000,1.62
244,2018-03-26,6888.69,6921.94,6958.47,6866.94,788730000,-0.48
245,2018-03-23,6921.94,6952.59,6952.82,6876.96,906200000,-0.44
246,2018-03-22,6952.59,7038.97,7038.97,6914.45,887620000,-1.23
247,2018-03-21,7038.97,7061.27,7065.66,7016.79,785550000,-0.32
248,2018-03-20,7061.27,7042.93,7081.5,7042.6,764830000,0.26
249,2018-03-19,7042.93,7164.14,7164.19,7034.91,750730000,-1.69
250,2018-03-16,7164.14,7139.76,7187.27,7131.31,1420000000,0.34
251,2018-03-15,7139.76,7132.69,7162.58,7127.08,833050000,0.1
252,2018-03-14,7132.69,7138.78,7176.51,7122.76,775440000,-0.09
253,2018-03-13,7138.78,7214.76,7224.13,7125.6,790450000,-1.05
254,2018-03-12,7214.76,7224.51,7254.87,7198.18,631270000,-0.13
255,2018-03-09,7224.51,7203.24,7225.28,7189.74,671260000,0.3
256,2018-03-08,7203.24,7157.84,7212.14,7145.7,734710000,0.63
257,2018-03-07,7157.84,7146.75,7180.71,7109.56,889060000,0.16
258,2018-03-06,7146.75,7115.98,7197.8,7115.6,810450000,0.43
259,2018-03-05,7115.98,7069.9,7119.21,7062.13,956920000,0.65
260,2018-03-02,7069.9,7175.64,7175.64,7063.42,938590000,-1.47
261,2018-03-01,7175.64,7231.91,7231.91,7153.39,886340000,-0.78
262,2018-02-28,7231.91,7282.45,7293.36,7231.91,948410000,-0.69
263,2018-02-27,7282.45,7289.58,7326.02,7272.87,740360000,-0.1
264,2018-02-26,7289.58,7244.41,7312.98,7244.31,603890000,0.62
265,2018-02-23,7244.41,7252.39,7262.05,7220.81,695740000,-0.11
266,2018-02-22,7252.39,7281.57,7281.57,7187.76,952980000,-0.4
267,2018-02-21,7281.57,7246.77,7291.8,7220.55,930800000,0.48
268,2018-02-20,7246.77,7247.66,7264.78,7202.14,699560000,-0.01
269,2018-02-19,7247.66,7294.7,7306.21,7239.98,520050000,-0.64
270,2018-02-16,7294.7,7234.81,7307.97,7234.81,671910000,0.83
271,2018-02-15,7234.81,7213.97,7267.96,7206.69,770030000,0.29
272,2018-02-14,7213.97,7168.01,7243.15,7145.73,969400000,0.64
273,2018-02-13,7168.01,7177.06,7202.99,7165.83,740990000,-0.13
274,2018-02-12,7177.06,7092.43,7199.93,7092.43,737670000,1.19
275,2018-02-09,7092.43,7170.69,7170.69,7073.03,955730000,-1.09
276,2018-02-08,7170.69,7279.42,7279.42,7161.31,1000000000,-1.49
277,2018-02-07,7279.42,7141.4,7311.5,7141.4,1060000000,1.93
278,2018-02-06,7141.4,7334.98,7334.98,7079.41,1400000000,-2.64
279,2018-02-05,7334.98,7443.43,7443.43,7334.79,916490000,-1.46
280,2018-02-02,7443.43,7490.39,7494.76,7432.25,898530000,-0.63
281,2018-02-01,7490.39,7533.55,7554.73,7476.51,899490000,-0.57
282,2018-01-31,7533.55,7587.98,7599.01,7521.77,907200000,-0.72
283,2018-01-30,7587.98,7671.53,7671.67,7587.12,823710000,-1.09
284,2018-01-29,7671.53,7665.54,7689.15,7663.93,631880000,0.08
285,2018-01-26,7665.54,7615.84,7667.4,7615.84,735670000,0.65
286,2018-01-25,7615.84,7643.43,7662.35,7608.53,735310000,-0.36
287,2018-01-24,7643.43,7731.83,7731.98,7643.43,769850000,-1.14
288,2018-01-23,7731.83,7715.44,7745.22,7710.03,765380000,0.21
289,2018-01-22,7715.44,7730.79,7739.35,7703.67,752610000,-0.2
290,2018-01-19,7730.79,7700.96,7731.82,7694.66,820000000,0.39
291,2018-01-18,7700.96,7725.43,7739.54,7683.71,789200000,-0.32
292,2018-01-17,7725.43,7755.93,7755.93,7711.11,847950000,-0.39
293,2018-01-16,7755.93,7769.14,7791.83,7740.55,849620000,-0.17
294,2018-01-15,7769.14,7778.64,7783.61,7763.43,568970000,-0.12
295,2018-01-12,7778.64,7762.94,7792.56,7752.63,1170000000,0.2
296,2018-01-11,7762.94,7748.51,7768.96,7734.64,1010000000,0.19
297,2018-01-10,7748.51,7731.02,7756.11,7716.21,885660000,0.23
298,2018-01-09,7731.02,7696.51,7733.12,7696.5,728230000,0.45
299,2018-01-08,7696.51,7724.22,7733.39,7691.77,654440000,-0.36
300,2018-01-05,7724.22,7695.88,7727.73,7689.81,655710000,0.37
301,2018-01-04,7695.88,7671.11,7702.51,7671.11,727690000,0.32
302,2018-01-03,7671.11,7648.1,7689.86,7640.53,589340000,0.3
303,2018-01-02,7648.1,7687.77,7691.34,7624.14,594070000,-0.52
304,2017-12-29,7687.77,7622.88,7697.62,7620.01,298180000,0.85
305,2017-12-28,7622.88,7620.68,7633.55,7609.77,321520000,0.03
306,2017-12-27,7620.68,7592.66,7632.71,7586.42,472510000,0.37
307,2017-12-22,7592.66,7603.98,7614.4,7585.47,251370000,-0.15
308,2017-12-21,7603.98,7525.22,7609.69,7517.88,640560000,1.05
309,2017-12-20,7525.22,7544.09,7550.6,7511.45,679710000,-0.25
310,2017-12-19,7544.09,7537.01,7563.49,7534.08,695720000,0.09
311,2017-12-18,7537.01,7490.57,7544.26,7490.57,585560000,0.62
312,2017-12-15,7490.57,7448.12,7490.57,7433.78,1220000000,0.57
313,2017-12-14,7448.12,7496.51,7496.7,7448.12,924060000,-0.65
314,2017-12-13,7496.51,7500.41,7510.77,7492.58,1030000000,-0.05
315,2017-12-12,7500.41,7453.48,7501.52,7448.31,1020000000,0.63
316,2017-12-11,7453.48,7393.96,7458.4,7393.58,933600000,0.8
317,2017-12-08,7393.96,7320.75,7412.21,7314.23,1040000000,1.0
318,2017-12-07,7320.75,7348.03,7371.73,7314.6,823880000,-0.37
319,2017-12-06,7348.03,7327.5,7369.71,7289.36,692980000,0.28
320,2017-12-05,7327.5,7338.97,7373.9,7326.57,903630000,-0.16
321,2017-12-04,7338.97,7300.49,7369.65,7300.49,768160000,0.53
322,2017-12-01,7300.49,7326.67,7355.43,7288.73,865250000,-0.36
323,2017-11-30,7326.67,7393.56,7416.26,7326.67,1380000000,-0.9
324,2017-11-29,7393.56,7460.65,7460.65,7386.67,1110000000,-0.9
325,2017-11-28,7460.65,7383.9,7469.61,7373.95,946120000,1.04
326,2017-11-27,7383.9,7409.64,7438.39,7383.9,656440000,-0.35
